x y label
3.322 14 c
3.3175 6 c
3.325 11 c
3.2845 6 c
3.2965 8 c
3.311 8 c
3.2755 15 c
3.3165 9 c
3.284 9 c
3.306 9 c
3.3145 10 c
3.3065 12 c
3.3055 9 c
3.3225 21 c
3.3155 6 c
3.293 9 c
3.32 5 c
3.287 12 c
