x y label
4.317 8 d
4.3245 6 d
4.3195 8 d
4.2755 20 d
4.314 5 d
4.2865 18 d
4.2965 8 d
4.318 6 d
4.324 5 d
4.2975 8 d
4.2775 10 d
4.3215 20 d
4.279 7 d
4.3165 7 d
4.2965 12 d
4.2935 27 d
4.285 28 d
4.3145 6 d
4.3205 9 d
4.289 5 d
4.3205 8 d
4.2855 9 d
4.3 12 d
4.3005 8 d
4.3215 13 d
4.3095 16 d
4.307 20 d
4.321 12 d
4.288 12 d
4.307 6 d
4.3205 3 d
4.321 6 d
4.281 5 d
4.286 3 d
4.2855 6 d
4.3155 6 d
4.279 3 d
4.289 6 d
4.279 9 d
4.2865 15 d
4.3005 8 d
4.3225 4 d
4.3115 4 d
4.28 4 d
4.3225 14 d
4.2785 16 d
4.3075 5 d
4.2995 18 d
4.2995 3 d
4.2805 5 d
4.3225 7 d
4.2885 7 d
4.306 18 d
4.2795 15 d
4.303 7 d
4.2835 8 d
4.324 12 d
4.2855 10 d
4.3145 6 d
4.3215 10 d
4.2775 47 d
4.288 18 d
4.2985 25 d
4.3075 5 d
4.3115 9 d
4.294 12 d
4.3035 3 d
4.28 2 d
4.302 3 d
4.2775 14 d
4.325 13 d
4.3155 6 d
4.308 14 d
4.28 12 d
4.317 15 d
4.3145 10 d
4.321 6 d
4.278 19 d
4.31 18 d
4.2935 5 d
4.2965 7 d
4.3045 8 d
4.2925 0 d
4.276 2 d
4.2945 7 d
4.301 12 d
4.287 17 d
