x y label
2.308 11 b
2.3065 8 b
2.3 9 b
2.2885 14 b
2.289 6 b
2.2785 10 b
2.276 7 b
2.2775 13 b
2.275 10 b
2.302 9 b
2.3225 16 b
2.275 9 b
2.3225 21 b
2.277 11 b
2.279 16 b
2.324 8 b
2.3015 12 b
2.2815 9 b
2.304 12 b
2.307 10 b
2.275 9 b
2.322 10 b
2.321 10 b
2.317 14 b
2.325 13 b
2.2955 10 b
2.3115 14 b
2.2985 13 b
2.304 7 b
2.2915 20 b
2.2835 18 b
2.3205 17 b
2.3245 13 b
2.29 7 b
2.323 14 b
2.3225 16 b
2.3115 17 b
2.288 14 b
2.292 15 b
2.3225 13 b
