Bin motorwayMLR motorwayEL motorwayRPROP motorwaySMS trunkMLR trunkEL trunkRPROP trunkSMS primaryMLR primaryEL primaryRPROP primarySMS aMLR aEL aRPROP aSMS bMLR bEL bRPROP bSMS minorMLR minorEL minorRPROP minorSMS
18 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.43409090909091 2.41136363636364 3.42272727272727 4.4 1.4327868852459 2.42459016393443 3.42459016393443 4.44098360655738 1.41630434782609 2.42717391304348 3.4054347826087 4.41086956521739 1.42572614107884 2.41244813278008 3.4 4.41659751037344
19 1.41612903225806 2.4 3.4 4.4 1.45555555555556 2.4 3.4 4.4 1.44545454545455 2.4 3.4 4.4 1.42459016393443 2.41639344262295 3.42459016393443 4.41639344262295 1.42173913043478 2.41086956521739 3.42717391304348 4.4 1.42406639004149 2.40580912863071 3.4 4.41410788381743
20 1.41612903225806 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.42272727272727 2.41136363636364 3.4 4.41136363636364 1.4 2.4 3.4 4.4 1.43260869565217 2.42173913043478 3.41630434782609 4.41086956521739 1.42655601659751 2.40663900414938 3.4 4.40995850622407
21 1.4 2.4 3.4 4.4 1.4 2.4 3.45555555555556 4.45555555555556 1.43409090909091 2.41136363636364 3.4 4.4 1.4 2.42459016393443 3.41639344262295 4.40819672131148 1.41630434782609 2.41630434782609 3.4054347826087 4.4 1.41078838174274 2.40497925311203 3.4 4.40995850622407
22 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.41136363636364 4.4 1.41639344262295 2.40819672131148 3.41639344262295 4.44098360655738 1.41630434782609 2.41086956521739 3.4 4.4054347826087 1.41410788381743 2.40414937759336 3.4 4.40580912863071
23 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4327868852459 2.40819672131148 3.40819672131148 4.4 1.41630434782609 2.4054347826087 3.41086956521739 4.4 1.41161825726141 2.40414937759336 3.4 4.40663900414938
24 1.4 2.4 3.4 4.4 1.4 2.45555555555556 3.4 4.4 1.41136363636364 2.4 3.4 4.4 1.41639344262295 2.40819672131148 3.4 4.4 1.41086956521739 2.4 3.41086956521739 4.41086956521739 1.40580912863071 2.40497925311203 3.4 4.40663900414938
25 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.41136363636364 4.4 1.41639344262295 2.41639344262295 3.42459016393443 4.4 1.4054347826087 2.41086956521739 3.4 4.4 1.40497925311203 2.40414937759336 3.4 4.40829875518672
26 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.40819672131148 3.4 4.40819672131148 1.4054347826087 2.4 3.4054347826087 4.4 1.40746887966805 2.40082987551867 3.4 4.40497925311203
27 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.4 2.4 3.4 4.4 1.40819672131148 2.4 3.40819672131148 4.4 1.41086956521739 2.4 3.4054347826087 4.4054347826087 1.40580912863071 2.40414937759336 3.4 4.40414937759336
